,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
10059,"එය හරහා කතා කරන්න: ළමයින්, මුලර් සහ නූනෙස් ඔවුන් සාමාන්‍ය අඟහරුවාදා රාත්‍රී අභ්‍යාසය, සුළි කුණාටුව හෝ සුළි කුණාටුවක් නොමැතිව පිටතට යන බව දන්නවා, එබැවින් ඔවුන් එය සැලසුම් කරයි: බටහිර මරන්න, එය පයික් මත සවි කරන්න.","ඒ වගේම ඔවුන් ඒ ගැන දක්ෂයි. ඔවුන් දන්නවා ඔබ අපරාධයක් කරන විට ඔබ විමර්ශනය කිරීමට යන බව ඔබ දන්නවා, ඔබට වැටෙන්න කොල්ලෙකු අවශ්‍ය වන අතර එය ක්‍රියාත්මක වීමට ඔබට සාක්ෂිකරුවෙකු සිටිය යුතුය."
10060,"ඒ වගේම ඔවුන් ඒ ගැන දක්ෂයි. ඔවුන් දන්නවා ඔබ අපරාධයක් කරන විට ඔබ විමර්ශනය කිරීමට යන බව ඔබ දන්නවා, ඔබට වැටෙන්න කොල්ලෙකු අවශ්‍ය වන අතර එය ක්‍රියාත්මක වීමට ඔබට සාක්ෂිකරුවෙකු සිටිය යුතුය.",ඩන්බාර්.
10061,ඩන්බාර්.,"හරියටම, සම්බන්ධ නැති, වචනයෙන් ප්‍රශ්න කළ නොහැක. ඔබ ඔවුන්ට දැකීමට අවශ්‍ය දේ පමණක් ඔවුන්ට දැකීමට ඉඩ සලසයි, ඔබ ඔවුන්ව විශ්වාස කරයි, එබැවින් කාලය පැමිණි විට, ඔවුන් ඔබේ සිදුවීම් අනුවාදය සම්පූර්ණයෙන්ම මිල දී ගෙන ඇත."
10062,"හරියටම, සම්බන්ධ නැති, වචනයෙන් ප්‍රශ්න කළ නොහැක. ඔබ ඔවුන්ට දැකීමට අවශ්‍ය දේ පමණක් ඔවුන්ට දැකීමට ඉඩ සලසයි, ඔබ ඔවුන්ව විශ්වාස කරයි, එබැවින් කාලය පැමිණි විට, ඔවුන් ඔබේ සිදුවීම් අනුවාදය සම්පූර්ණයෙන්ම මිල දී ගෙන ඇත.",ඔවුන් විශ්වාස කරන්නේ අහිංසකයන් වැරදිකරුවන් බවත් වැරදිකරුවන් නිර්දෝෂී බවත්ය.
10063,ඔවුන් විශ්වාස කරන්නේ අහිංසකයන් වැරදිකරුවන් බවත් වැරදිකරුවන් නිර්දෝෂී බවත්ය.,"ඔවුන්ගෙන් ඇසුවොත්, ඔවුන් ලෝකයට පවසන්නේ එයයි."
10064,"ඔවුන්ගෙන් ඇසුවොත්, ඔවුන් ලෝකයට පවසන්නේ එයයි.","ඒ නිසා එය හොඳ සැලැස්මක් නමුත් එය වැරදියි; මුලර් ඉවතට පෙරළා ඔවුන්ගේ වැටීමේ පුද්ගලයාට වෙඩි තබයි, එයින් අදහස් කරන්නේ ඔවුන්ට ඩන්බාර් සහ කෙන්ඩල් කවර කතාවට ගෙන ඒමට සිදු වන බවයි --"
10065,"ඒ නිසා එය හොඳ සැලැස්මක් නමුත් එය වැරදියි; මුලර් ඉවතට පෙරළා ඔවුන්ගේ වැටීමේ පුද්ගලයාට වෙඩි තබයි, එයින් අදහස් කරන්නේ ඔවුන්ට ඩන්බාර් සහ කෙන්ඩල් කවර කතාවට ගෙන ඒමට සිදු වන බවයි --","කෙන්ඩල් සමහර විට එකඟ වන්නට ඇත, නමුත් සුළි කුණාටුව කැබින් එක කඩා දමයි --"
10066,"කෙන්ඩල් සමහර විට එකඟ වන්නට ඇත, නමුත් සුළි කුණාටුව කැබින් එක කඩා දමයි --",බට්ෆක්ස් කැබින් එක?
10067,බට්ෆක්ස් කැබින් එක?,"ඒ වගේම හැම මගුලක්ම ගැලවෙනවා. ගොඩක් හොඳ මිනිස්සු ගොඩක් නරක මිනිස්සුන්ට වෙඩි තියලා විස්, බැන්ග්, සූම්, සතුටුදායක අවසානයක්."
10068,"ඒ වගේම හැම මගුලක්ම ගැලවෙනවා. ගොඩක් හොඳ මිනිස්සු ගොඩක් නරක මිනිස්සුන්ට වෙඩි තියලා විස්, බැන්ග්, සූම්, සතුටුදායක අවසානයක්.","ඉතින් ඇයි, ඩන්බාර් කෙන්ඩල්ව නිවසක් යට සිට ඇදගෙන ගිය පසු, සෙනෙට් සභිකයාගේ පුතා අපව ඔහුගේ ගැලවුම්කරුවා ගෑස් කුටියට දැමීමට උත්සාහ කරන්නේ ඇයි?"
10069,"ඉතින් ඇයි, ඩන්බාර් කෙන්ඩල්ව නිවසක් යට සිට ඇදගෙන ගිය පසු, සෙනෙට් සභිකයාගේ පුතා අපව ඔහුගේ ගැලවුම්කරුවා ගෑස් කුටියට දැමීමට උත්සාහ කරන්නේ ඇයි?",ඒක ඔයාටත් කරදරයක්ද?
10070,ඒක ඔයාටත් කරදරයක්ද?,ටිකක්.
10071,ටිකක්.,අපි බිල් එකට කතා කරමු...
10072,"අපි කෙලෙව්වා, මම දන්නවා --",ඔවුන් ඔවුන්ගේ කථා කෙළින් කර ඇත.
10073,ඔවුන් ඔවුන්ගේ කථා කෙළින් කර ඇත.,කුමක් ද?
10074,කුමක් ද?,"කෙන්ඩල් පැවසූ දේ -- ""ඔබට නිදා ගැනීමට පහසු නොවන ආකාරයේ පිරිමි ළමයින්."" චයිල්ඩ්ස් ගැන ලියුමට ඩන්බාර් කිව්වේ එහෙමයි."
10075,"කෙන්ඩල් පැවසූ දේ -- ""ඔබට නිදා ගැනීමට පහසු නොවන ආකාරයේ පිරිමි ළමයින්."" චයිල්ඩ්ස් ගැන ලියුමට ඩන්බාර් කිව්වේ එහෙමයි.",ඔයාට විශ්වාස ද?
10076,ඔයාට විශ්වාස ද?,"ධනාත්මක. හාඩි, ඔවුන් මෙය සැලසුම් කළා."
10077,ඇයි ඔයා ලෙවී එක්ක තත්පරයක්වත් කතා නොකරන්නේ?,හොඳ අදහස.
10078,ඒක නම් අපූරු අදහසක්...,"බලන්න, මම ඔබේ තුවක්කුව මෘත ශරීරාගාරයට ගෙන ගොස් ඔවුන්ගේ හිස් කබලකට වෙඩි තබමි. එවිට මම රටේ සෑම පුවත්පතකටම කතා කරන්නේ සෙනෙට් සභික කෙන්ඩල්ගේ සමලිංගික පුත්‍රයා පුහුණු මෙහෙයුමකදී පිස්සු වැටුණු ආකාරය පිළිබඳ කතාව සමඟින් --"
10079,මම ඔහුව තදින් තල්ලු කළෙමි.,ඔබ දැන නොසිටින්නට ඇත ...
10080,ඔබ දැන නොසිටින්නට ඇත ...,"ඔව්, මට තිබුණා. තිබිය යුතුයි."
10081,"ඔව්, මට තිබුණා. තිබිය යුතුයි.",ඔබට අවශ්‍ය වූයේ සත්‍යය ලබා ගැනීමටය.
10082,ඔබට අවශ්‍ය වූයේ සත්‍යය ලබා ගැනීමටය.,"නැහැ, මම එහෙම කළේ නැහැ. මට අවශ්‍ය වුණේ ඔහුව අවමන් කරන්න. ඔහු ඩන්බාර්ට කළ දේ සඳහා. පොඩි එකාට කරපු මගුලක් නිසා."
10083,"නැහැ, මම එහෙම කළේ නැහැ. මට අවශ්‍ය වුණේ ඔහුව අවමන් කරන්න. ඔහු ඩන්බාර්ට කළ දේ සඳහා. පොඩි එකාට කරපු මගුලක් නිසා.",ඔබ කියන්නේ බොරු චෝදනා එල්ල කළ අයද?
10084,ඔයාට ඕන උනේ එයාව කඩන්න.,ඔව්.
10085,ඔව්.,මමත් එහෙමයි.
10086,ඉතින් දැන් මොකද?,"දැන් මම ගෙදර යනවා, බීලා, මේක කවදාවත් සිද්ධ වුණ දේ අමතක කරන්න උත්සාහ කරනවා."
