,Question,Answer
7184,Careful. Careful. CAREFUL! Sorry.,"I'll tell you what, for the rest of our lives, I'll be careful until told otherwise. hey wait a minute this isn't the china we picked out.."
7185,"I know, after you left the store, I chose different ones.",Why?
7186,"well no offense honey, but your taste is a little feminine for me.","Oh suddenly, flowers are feminine?"
7187,"Well we haven't offically asked them yet, but we would want Monica and Chandler.",I can't believe you'd want us to raise Emma.
7188,Connected? I mean.. to what? She's.. she's a lump.,"You know, guys I got to say. This means so much to me. That you would trust me with your child. I mean, we all know that Monica and I have been trying to have a baby of our own. You know I've had my doubts about my skills as a father, but that you two.. that you two...."
7189,"Okay, how about this, you guys die and the crazy plate lady dies, then do I get the baby?","No, if crazy plate lad.. If Monica dies then I would get Emma, Right?"
7190,Well actually...,Actually what?
7191,"well.. its just. its just in that case, then um. Emma would go to my parents.",What?
7192,Uh.. who has to die for me to get her? Commercial Break.,"So if Monica's not around, then I'm not good enough to raise Emma?"
7193,Yeah he's lying. He looked down.,Well what is wrong with me? Am I .. am I incomptent? Because I managed to survive whatever it is that killed the three of you!
7194,"Thats not how you see me, is it? Phoebe while cutting a sweet potatoe in the air: No you're all about the fun.","Look, I may not know a lot about babies, but do you really think I'm not capable?"
7195,"No, you both are equally capable. Its just.. you're strongest when.. when you're together.",Ok. So if we both had Emma and I die she'd have to give her up.
7196,"I lie better then that, right?","So.. let me get this straight. So my two friends die, I get Emma. Then my wife dies, then Emma the one tiny ray of hope left in my life gets taken away from me?"
7197,Hey. There you are. You disappeared after dinner.,Oh? Did somebody miss me? Is there a child to raise poorly?
7198,Ross and Rachel don't know what they're talking about. I mean its not like their so responsible. Emma is a product of a bottle of Merlot and a five year old condom.,"Yeah but they're right. I mean, I'm not a strong father figure and I never will be."
7199,No you learn these things. You grow into it.,"Yeah, but its not who I am. Everything they said was exaclty why I was worried about having a kid. And its true. And look everybody knows it."
7200,I don't know it! I want to have a kid with you because I think you're going to be an amazing dad... at the fun parts and the hard parts.,"""Oh yeah, well can you picture me saying """"Go to your room! You're grounded""""?"""
7201,"""Can you hear me say """"You're grounded""""?""",You said that to me last week.
7202,"Hey dude, you okay? Sorry about before.","Oh no thats okay, you're totally right. I don't know anything about disciplining a child. But it did hurt my feelings and I want you to know that when I die, you don't get Joey. Ross walks away with a face of yeah ok. Amy walks over to the couch and sits down next to Rachel: Ucch. Uchh In case you hadn't noticed, I'm not talking to you."
7203,Ew! Gross.,"Alright! That is it. This is our apartment and you can not behave this way. Now if you can't act your age then you shouldn't be here at all. Now those plates may not be as nice as the pretty pink ones I picked out, but they're very important to Monica. I want you to apologize to her right now."
7204,"Mon, I'm so sorry.",Okay. Thats better. Now I want you to both apologize to each other and mean it.
7205,Sorry.,"By the way, that fight was totally arousing."
7206,"Dude. Well done. You know what? If I die, and Rachel dies and Monica dies then you can totally take care of Emma.",Oh yeah? Well thanks.
7207,"So, so now do I get Joey?","Okay, but you should know he eats five times a day and shoves pennies up his nose."
7208,She needs changing.,"Oh no no no.. I'll get her. I'm super-compentent and totally responsibile and fourth in line to raise Emma. I'll be right there Emma. Just let me get my trusty diaper bag here. Well.. what do you know? I guess, I'll be the one who dies first."
7209,"Hey, does Monica know about her broken plates yet?",Nope...
7210,"Broke them all, huh?",Yep...
7211,You gonna tell her?,"Nope... Hey... so I'm gonna... put the plates back. You know, I think you were right, I don't think we should use these plates again for a looong time."
7212,Like only if the queen comes?,Maybe not even then.
7213,"This kitty is Mittens and this one is Fitzhugh, and this little guy in the cat condo is Jinkies.",Yep. That's a lot of cats Jo Lynn. Single are ya?
7214,Yep. That's a lot of cats Jo Lynn. Single are ya?,Chandler Bing.
7215,Hey. How come you're answering your own phone? Where's your crazy assistant?,What's up Joe?
7216,"Okay, what have we always wanted to do together?",Braid each other's hair and ride horseback on the beach?
7217,"No, no, no. When you get home tomorrow night, you and I are going to be at the Wizzards-Knicks game . . . courtside!",Courtside? Oh my God.
7218,Yeah. Maybe Michael Jordon will dive for the ball and break my jaw with his knee.,That's so cool. I'll let Monica know.
7219,Hello?,Joey just called. He's got courtside Knicks tickets for him and me tomorrow night.
7220,"Really? But tomorrow night is the only night I get off from the restaurant. If you go to the game, we won't have a night together for another week.","But hey, it's courtside. The cheerleaders are going to be right in fr. . . That's not the way to convince you."
7221,"""Chandler look, I don't want to be one of those wives who says, """"You can't go to the game. You have to spend time with me."""" So, if you could just realize it on your own . . .""","I know. You're right. I want to see you too. I've just got to figure out a way to tell Joey, you know? He's really looking forward to this."
7222,Tell him that you haven't seen your wife in a long time. Tell him that having a long-distance relationship is really difficult. Tell him that what little time we have is precious.,"Yeah, ah, ah . . . I'll think of something."
7223,"Chandler, you have to tell Joey that you're not in Tulsa.","Don't you think it's better for him to think that you're cheating on me, than for him to think that I'm cheating on him? I heard it."
7224,I don't want him to think that I'm having an affair.,All right. I've got a plan. I'll go down the fire escape.
7225,"""Yes, because all good plans start with, """"I'll go down the fire escape.""""""","Hear me out woman. I'll go down the fire escape. Then, I'll wait for a while. Then, when I come up the stairs, it'll be just like I just got back from Tulsa. Then, Joey and I will come in and see that there's no guy in here."
7226,Aren't you afraid that Joey's going to figure all of this out? I heard it.,I'm just going to wait for a little while.
7227,Scary pigeon's back?,It's huge.
7228,"Wow! That didn't take long. I thought you said Tulsa was, like a three hour flight.","Well, you're forgetting about the time difference."
7229,Chandler! You're home!,"That's right. You're husband's home. So, now the sex can stop."
7230,What are you saying?,Joey said that you're in here with another man.
7231,"All right. All right. Then, maybe you won't mind if me and my friend take a look around, huh? Bwa-ah-ah!",What is he doing?
7232,"Bedroom is clear, although you might need some new pillows.","All right. Well, I'll check the guest room."
7233,Oh yeah. I rubbed a magazine on myself earlier.,There's nobody here Joe.
7234,"Whoa, whoa. Wait a minute. Wait a minute. If you just got back from Tulsa, how did your suitcase beat you here?",I climb down the fire escape and you can't put that in the closet?
7235,What's going on?,"I'm sorry. I, I told you I was in Tulsa because I wanted to spend the night with Monica and I, I didn't know . . . I didn't think you'd understand."
7236,I don't know what to say. We shouldn't have lied to you.,Yeah. I feel so bad. Is there anything I can do to make it up to you?
7237,"Yeah, you could go to the game with me, ah, even though I know you said you couldn't. But then you lied to me and tricked me and gave me a bump on the head.",I'm sorry. That's the one thing I can't do. I promised I'd be with Monica.
7238,You can go.,What?
7239,You should go to the game. It's okay. I want you to.,Really? You're gonna be okay?
7240,"Yeah, I'll be fine. You know, maybe I'll stay here and practice the art of seduction.","You're gonna put on sweats and clean, aren't you?"
7241,It's gonna be so hot!,"Okay, bye."
7242,Thanks. Here's your ticket.,"Hey, listen. I'm never going to lie to you again, okay? And I want you to know that nobody thinks you're stupid."
7243,Where are you going?,Game's tomorrow night Joe.
7244,Uh-huh.,"Say goodbye elves, I'm off to Tulsa."
7245,You're really not coming back?,"Yeah, we have all this paperwork that needs to be filed by the end of the year. If I don't get it done, I'll be fired."
7246,"It's so unfair, you don't even like your job!","So, who does?"
7247,I can't get *enough* dinosaurs!,"I'm sorry, I won't be here."
7248,"It's just... It's hard enough not seeing you during the week, but for Christmas... alright, if this is what you have to do, I understand.",Thanks. I'll see you New Year's Day.
7249,You're not gonna be here New Year's Eve??,Did I not mention that?
